All Method Calls (2202)

<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; setName[java.lang.String]; void; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; FormatXmlBean[java.lang.String, double, double, boolean, boolean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; setWidth[double]; void; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; FormatXmlBean[java.lang.String, double, double, boolean, boolean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; setHeight[double]; void; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; FormatXmlBean[java.lang.String, double, double, boolean, boolean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; setSelected[boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; FormatXmlBean[java.lang.String, double, double, boolean, boolean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; setLandscape[boolean]; void; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; FormatXmlBean[java.lang.String, double, double, boolean, boolean]; void; null; this>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; getName[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.FormatXmlBean; toString[]; java.lang.String; null; this>
<not found; getStringManager[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.TableFrameXmlBean; setHeight[int]; void; null; StringManagerFactory>
<not found; getUrl[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; GraphXmlSerializer[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession, net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab, java.lang.String]; void; null; _session.getAlias()>
<not found; getAlias[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; GraphXmlSerializer[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession, net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab, java.lang.String]; void; getUrl[]; _session>
<net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; getFileName[java.lang.String, java.lang.String, java.lang.String]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; GraphXmlSerializer[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession, net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab, java.lang.String]; void; null; this>
<not found; getPath[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; GraphXmlSerializer[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession, net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab, java.lang.String]; void; null; plugin.getPluginUserSettingsFolder()>
<not found; getPluginUserSettingsFolder[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; GraphXmlSerializer[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession, net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab, java.lang.String]; void; getPath[]; plugin>
<net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab; getTitle[]; java.lang.String; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; GraphXmlSerializer[net.sourceforge.squirrel_sql.plugins.graph.GraphPlugin, net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.ISession, net.sourceforge.squirrel_sql.plugins.graph.GraphMainPanelTab, java.lang.String]; void; null; graphPane>
<not found; save[]; not found; net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphXmlSerializer; write[net.sourceforge.squirrel_sql.plugins.graph.xmlbeans.GraphControllerXmlBean]; void; null; bw>
